key,energy,liveliness,tempo,speechiness,acousticness,instrumentalness,time_signature,duration,loudness,valence,danceability,mode,time_signature_confidence,tempo_confidence,key_confidence,mode_confidence,genres
6.0,0.618964,0.37509899999999996,114.907,0.03443,0.12914899999999999,0.000397,0.0,4.0,302.37333,-9.496,0.9473619999999999,0.905836,0.712,0.62,0.8280000000000001,0.87,dance
4.0,0.766515,0.154111,176.639,0.122246,0.36660000000000004,0.004567,0.0,4.0,200.93333,-9.423,0.8245300000000001,0.614433,0.332,0.219,0.34700000000000003,1.0,dance
4.0,0.6657200000000001,0.7820429999999999,89.958,0.13888799999999998,0.22644000000000003,0.000424,0.0,4.0,456.13868,-8.531,0.27768899999999996,0.6349629999999999,0.0,0.0,0.149,0.966,dance
5.0,0.889199,0.046952999999999995,127.999,0.06269000000000001,0.001885,0.8629629999999999,0.0,4.0,315.14014,-2.5869999999999997,0.18823499999999999,0.7552289999999999,0.338,0.41300000000000003,0.744,1.0,dance
6.0,0.7862859999999999,0.051926,124.029,0.047166,0.068995,0.0,0.0,4.0,239.61333,-5.7,0.960204,0.769805,0.772,0.6900000000000001,0.899,1.0,dance
7.0,0.916754,0.575037,107.988,0.27054,0.054716999999999995,7e-06,1.0,4.0,204.51265,-3.241,0.352555,0.8185,0.341,0.369,0.624,1.0,dance
11.0,0.611039,0.054391999999999996,115.224,0.110535,0.164514,0.00035099999999999997,0.0,4.0,205.16,-6.777,0.872226,0.799615,0.501,0.883,0.86,1.0,dance
4.0,0.884106,0.219987,109.924,0.203041,0.000479,0.118264,0.0,4.0,236.52,-5.017,0.47732399999999997,0.597594,0.705,0.507,0.838,1.0,dance
9.0,0.605248,0.080301,124.031,0.037540000000000004,0.032646999999999995,0.860113,0.0,4.0,341.69333,-7.829,0.48816899999999996,0.8847379999999999,0.41100000000000003,0.401,0.303,1.0,dance
7.0,0.240203,0.31826099999999996,126.944,0.035247,0.9419949999999999,0.9189800000000001,0.0,4.0,248.23946,-18.101,0.225342,0.548804,0.716,0.833,0.771,0.986,dance
